Date,Open,High,Low,Close,Adj Close,Volume
2021-05-06,18.293346,19.170860,17.268894,17.399294,17.399294,20986240
2021-05-07,17.398556,18.338106,16.844833,17.540344,17.540344,14740364
2021-05-08,17.536169,18.424397,17.213560,17.237127,17.237127,14486064
2021-05-09,17.211950,17.329182,16.264938,16.756207,16.756207,15086817
2021-05-10,16.798740,18.690758,15.668894,16.156227,16.156227,30847569
2021-05-11,16.173456,17.256117,15.778240,17.031210,17.031210,13604868
2021-05-12,17.029593,17.345770,14.583497,14.583497,14.583497,12379706
2021-05-13,14.474761,16.892790,13.908560,15.043908,15.043908,20906335
2021-05-14,15.014756,15.979282,14.637723,15.560730,15.560730,13479009
2021-05-15,15.568171,15.681681,14.368850,14.439273,14.439273,10371278
2021-05-16,14.428143,15.441870,13.377912,14.180707,14.180707,9406184
2021-05-17,14.191637,14.929876,12.601295,14.307243,14.307243,13326389
2021-05-18,14.347990,17.611719,14.237257,16.613274,16.613274,36598604
2021-05-19,16.661707,16.950701,8.320676,12.322754,12.322754,37992307
2021-05-20,12.325024,13.672353,10.604291,13.413005,13.413005,21877850
2021-05-21,13.372129,16.574568,12.121946,13.939943,13.939943,44334131
2021-05-22,13.971129,14.060368,11.730039,12.094363,12.094363,22590392
2021-05-23,12.087955,12.647187,8.421303,11.383962,11.383962,19198393
2021-05-24,11.325016,15.134909,11.325016,13.518679,13.518679,33650532
2021-05-25,13.527060,14.971925,12.568164,14.021166,14.021166,18082879
2021-05-26,14.026910,15.520648,14.007110,15.520648,15.520648,20194548
2021-05-27,15.526414,17.937494,13.915363,17.937494,17.937494,34891125
2021-05-28,18.013733,23.014713,15.014589,19.509226,19.509226,156626301
2021-05-29,19.587976,20.259033,15.121012,16.199450,16.199450,69089273
2021-05-30,16.206451,17.356644,14.717272,15.683869,15.683869,36865007
2021-05-31,15.685391,16.635454,15.030469,16.232483,16.232483,24771553
2021-06-01,16.253031,16.655243,15.074307,15.238679,15.238679,16316484
2021-06-02,15.239395,16.343624,14.710052,15.590543,15.590543,19910443
2021-06-03,15.599383,16.102009,15.080996,15.612555,15.612555,18554727
2021-06-04,15.655686,15.655686,14.105004,14.847805,14.847805,15942807
2021-06-05,14.883401,15.131618,13.745200,14.135058,14.135058,8903216
2021-06-06,14.135162,14.907061,13.947957,14.674110,14.674110,6015368
